label_set,asset,regime,mean,vol,sharpe,max_drawdown,anova_p,observations
KMeans,US30Y_BOND_FUT,Regime_1,0.0043285826409105495,0.050127312547960455,0.08635177951678696,-0.14261454575198074,0.10382868512080255,17
KMeans,US10Y_NOTE_FUT,Regime_0,0.002486311842705873,0.016234755631207833,0.15314747564949313,-0.11929133858267671,0.09280224244673003,142
KMeans,US10Y_NOTE_FUT,Regime_3,-0.0017952396715485645,0.016787911308833267,-0.10693645198160931,-0.3131885686297412,0.09280224244673003,140
KMeans,US10Y_NOTE_FUT,Regime_1,0.0032701749551044775,0.027218964270813405,0.12014325462820971,-0.07542246520874751,0.09280224244673003,17
KMeans,US5Y_NOTE_FUT,Regime_0,0.001257181282725533,0.010071567900062051,0.12482478350940647,-0.11176689908456905,0.10488038080460493,142
KMeans,US5Y_NOTE_FUT,Regime_3,-0.0010098423606691711,0.011313691162317813,-0.0892584344208214,-0.21450251157048306,0.10488038080460493,140
KMeans,US5Y_NOTE_FUT,Regime_1,0.003614333613501216,0.01614585553719915,0.22385519337603343,-0.03318931657501989,0.10488038080460493,17
KMeans,BTC,Regime_0,-0.047345216966531024,0.19168518717599572,-0.24699465652012548,-0.6578930338837995,0.2016200822523824,10
KMeans,BTC,Regime_3,0.07563376712108727,0.20971768715757544,0.3606456286362646,-0.7595680751027499,0.2016200822523824,117
KMeans,BTC,Regime_1,0.038009486179690355,0.24899152284501644,0.1526537359400351,-0.034146858566219906,0.2016200822523824,4
HMM,SPX,Regime_0,0.00790788688077596,0.04253574856559289,0.1859115484609724,-0.5255585947031325,,427
HMM,NDX,Regime_0,0.013531879974817678,0.06758263588972516,0.2002271707321049,-0.810697967841101,,427
HMM,GOLD,Regime_0,0.009456299753001043,0.04655058942132256,0.20314027965174536,-0.42012575945959796,,300
HMM,US30Y_BOND_FUT,Regime_0,0.0009863061968479311,0.030389253878902924,0.03245575560289266,-0.3996228355906054,,299
HMM,US10Y_NOTE_FUT,Regime_0,0.0005261394711846524,0.01734179710788971,0.03033938569984096,-0.24205242610150546,,299
HMM,US5Y_NOTE_FUT,Regime_0,0.00032971733472529234,0.011115966093009765,0.02966159953768066,-0.1716427155599609,,299
HMM,BTC,Regime_0,0.0650972254062646,0.2105102116639918,0.30923547552253783,-0.7557435061741204,,131
GMM,SPX,Regime_2,0.010507295751394608,0.0384849094399571,0.27302378787684944,-0.20121051408196022,0.5394112393665664,106
GMM,SPX,Regime_0,0.009815546631796148,0.03776766461853105,0.25989286684620844,-0.32706828071838767,0.5394112393665664,147
GMM,SPX,Regime_3,0.003989885263365138,0.04394362266199648,0.09079554715036474,-0.4015408123100751,0.5394112393665664,158
GMM,SPX,Regime_1,0.011850445122361317,0.08160492128625328,0.14521728512907195,-0.24119739163306442,0.5394112393665664,16
GMM,NDX,Regime_2,0.017916027396595605,0.06228948393649574,0.2876252340581443,-0.27637764062116565,0.31456186020157756,106
GMM,NDX,Regime_0,0.01667768790816624,0.07159687139530233,0.23293878046828329,-0.656414878973713,0.31456186020157756,147
GMM,NDX,Regime_3,0.0060726173252116196,0.06521864562946829,0.09311167483778256,-0.5463420662722115,0.31456186020157756,158
GMM,NDX,Regime_1,0.029245011582758815,0.08401536497123098,0.34809122822680183,-0.16316549115379397,0.31456186020157756,16
GMM,GOLD,Regime_0,0.007418811213974765,0.047605534721112154,0.15583925813324942,-0.35952968247966244,0.554669907253666,123
GMM,GOLD,Regime_3,0.009409218872888363,0.04194755098088161,0.22430913492844415,-0.17878750630379792,0.554669907253666,158
GMM,GOLD,Regime_1,0.025319605554687846,0.07502561593950277,0.3374794760112922,-0.05395643950394968,0.554669907253666,16
GMM,GOLD,Regime_2,0.010868625263350121,0.055680365285534016,0.19519673061796228,-0.051224447071959056,0.554669907253666,3
